_,i
_?ff,naaf
a_,aa
a__,aai
a___,aa
a___h,afwaah
a___m,aalam
a__ah,afwaah
a__kh,aankh
a__s_,aesa
a_a,aa
a_am,adam
a_b,aeb
a_b_d,aabid
a_d,aid
a_d_,adddda
a_d_t,audit
a_dh_ro,andhairon
a_dh_ron,andhairon
a_dhere,andhairay
a_di,aidi
a_ert,alert
a_ey,aaey
a_h_,abhi
a_h_in,aahain
a_hi,abhi
a_hm_q,ahmaq
a_i,aai
a_i_,aabid
a_iffi_a,aafiyah
a_ikum,alaekum
a_is_,aesa
a_it,abit
a_j,aaj
a_j_,aaja
a_ju,aiju
a_k,aik
a_kh,aankh
a_khai_,aankhain
a_kho_,aankhon
a_khri,aakhiri
a_lam,aalam
a_le,aehl_e_
a_lim,aalim
a_meen,aameen
a_mi,ammi
a_mol,anmol
a_n,aan
a_ne,aanay
a_ni,aani
a_nkh,aankh
a_nkh_,aankhain
a_nkh_n,aankhain
a_nkhen,aankhain
a_nkhon,aankhon
a_ns_,ainsi
a_over,allover
a_p,aap
a_pk,aapkay
a_pke,aapkay
a_pki,aapki
a_pko,aapko
a_pne,aapnay
a_pse,aapsay
a_r,air
a_r_,aara
a_rz_,aarzi
a_s_,aesa
a_s__,aasaan
a_s_n,aasaan
a_sa,aesa
a_sm_n,aasmaan
a_snt,aisnt
a_sy,aesay
a_t,ant
a_t_,aata
a_t___r,aetibaar
a_tbaar,aetibaar
a_te,aatay
a_ti,aati
a_y,aaey
a_y_,aaya
a_ye,aaey
a_yen,aaein
a_zm_,aizmi
aa_,aai
aa_a,aaya
aa_di,aaidi
aa_kh__,aankhon
aa_khi_,aakhir
aa_kho_,aankhon
aaa,aa
aaa_eee,aaeeey
aaaa,aa
aaaaa,aa
aaaaaa,aa
aaaaaaa,aa
aaaaaaaa,aa
aaaaaaaaaa,aa
aaaaaaaaaaaa,aa
aaaaaaaaaaaaa,aa
aaaaaaaaaaaaaaaaaaaaa,aa
aaaaaaaaachh_,aachhi
aaaaaaahh,aah
aaaaaakh,aankh
aaaaaakkhhrrriii,aakhiri
aaaaaakkkkkhhhhhiiiiii,aakhiri
aaaaaayah,aayah
aaaaahhhhh,aah
aaaaakkhhrriii,aakhiri
aaaaap,aap
aaaaayah,aayah
