0,_0_0_0_0_0
1,_1_0_0_0_0
1st,_1_1_2_0_0_0
2,_2_0_0_0_0
2day,_2_8_0_0_0_0
2marrow,_2_12_14_18_0_0
2mrw,_2_12_14_18_0_0
4,4_0_0_0_0
4get,4_13_2_0_0_0
about,A_9_2_0_0_0
abt,A_9_2_0_0_0
acc,A_1_0_0_0_0
actually,A_1_2_17_0_0
afta,A_15_2_0_0_0
after,A_15_2_14_0_0
again,A_13_11_0_0_0
ah,A_19_0_0_0_0
ahahahaha,A_19_19_19_19_0
ahahahha,A_19_19_19_0_0
ahh,A_19_0_0_0_0
ahhhh,A_19_0_0_0_0
ahit,A_19_2_0_0_0
aight,A_26_2_0_0_0
ain,A_11_0_0_0_0
aint,A_11_2_0_0_0
aite,A_2_0_0_0_0
all,A_17_0_0_0_0
alll,A_17_0_0_0_0
allll,A_17_0_0_0_0
allllllllll,A_17_0_0_0_0
alright,A_17_14_26_2_0
am,A_12_0_0_0_0
amazing,A_12_3_11_13_0
ammmmmazing,A_12_3_11_13_0
amzn,A_12_3_11_0_0
and,A_11_8_0_0_0
animtion,A_11_12_2_11_0
anniversery,A_11V_14_1_14
anyones,A_11_11_1_0_0
anyway,A_11_18_0_0_0
appearal,A_10_14_17_0_0
appli,A_10_17_0_0_0
appology,A_10_17_13_0_0
appreciate,A_10_14_1_2_0
aqen,A_7_11_0_0_0
aquired,A_7_14_8_0_0
are,A_14_0_0_0_0
aree,A_14_0_0_0_0
areee,A_14_0_0_0_0
askin,A_1_7_11_0_0
atl,A_2_17_0_0_0
b,B_0_0_0_0
b4,B4_0_0_0_0
baby,B_9_0_0_0_0
babyyyy,B_9_0_0_0_0
back,B_1_7_0_0_0
bak,B_7_0_0_0_0
bb,B_0_0_0_0
bball,B_17_0_0_0_0
bberry,B_14_0_0_0_0
bc,B_1_0_0_0_0
bck,B_1_7_0_0_0
bcuz,B_1_3_0_0_0
bday,B_8_0_0_0_0
be,B_0_0_0_0
because,B_1_1_0_0_0
bed,B_8_0_0_0_0
bedddd,B_8_0_0_0_0
been,B_11_0_0_0_0
before,B_15_14_0_0_0
beggin,B_13_11_0_0_0
being,B_11_13_0_0_0
between,B_2_18_11_0_0
bf,B_15_0_0_0_0
bg,B_13_0_0_0_0
bhee,B_19_0_0_0_0
bicthh,B_1_22_19_0_0
biebers,B_9_14_1_0_0
big,B_13_0_0_0_0
bio,B_0_0_0_0
biq,B_7_0_0_0_0
birthday,B_14_22_8_0_0
bitch,B_2_5_0_0_0
bizness,B_3_11_1_0_0
black,B_17_1_7_0_0
blackberry,B_17_1_7_9_14
blck,B_17_1_7_0_0
blockin,B_17_1_7_11_0
bn,B_11_0_0_0_0
boi,B_0_0_0_0
boy,B_0_0_0_0
boyfriend,B_15_14_11_8_0
boyt,B_2_0_0_0_0
bridgr,B_14_8_13_14_0
bro,B_14_0_0_0_0
brrr,B_14_0_0_0_0
bs,B_1_0_0_0_0
bt,B_2_0_0_0_0
btw,B_2_18_0_0_0
buggin,B_13_11_0_0_0
bullshit,B_17_1_2_0_0
bullshitin,B_17_1_2_11_0
business,B_1_11_1_0_0
bussiness,B_1_11_1_0_0
but,B_2_0_0_0_0
buy,B_0_0_0_0
buyed,B_8_0_0_0_0
buyin,B_11_0_0_0_0
buying,B_11_13_0_0_0
bwahahaha,B_18_19_19_19_0
bwahahahahah,B_18_19_19_19_19
bye,B_0_0_0_0
byeee,B_0_0_0_0
c,C_0_0_0_0
can,C_11_0_0_0_0
cann,C_11_0_0_0_0
caz,C_3_0_0_0_0
chem,C_19_12_0_0_0
chemistry,C_19_12_1_2_14
chick,C_19_1_7_0_0
chiick,C_19_1_7_0_0
chillin,C_19_17_11_0_0
cho,C_19_0_0_0_0
cleaaan,C_17_11_0_0_0
clean,C_17_11_0_0_0
clit,C_17_2_0_0_0
cmputr,C_12_10_2_14_0
cnt,C_11_2_0_0_0
cofused,C_15_1_8_0_0
come,C_12_0_0_0_0
comin,C_12_11_0_0_0
coming,C_12_11_13_0_0
comingg,C_12_11_13_0_0
comming,C_12_11_13_0_0
computer,C_12_10_2_14_0
confrims,C_11_15_14_12_1
congradulations,C_11_13_14_8_17
congrats,C_11_13_14_2_1
congratz,C_11_13_14_2_3
cont,C_11_2_0_0_0
convo,C_11V_0_0_0
cookin,C_7_11_0_0_0
cooking,C_7_11_13_0_0
cool,C_17_0_0_0_0
could,C_17_8_0_0_0
coult,C_17_2_0_0_0
coz,C_3_0_0_0_0
crazi,C_14_3_0_0_0
crazy,C_14_3_0_0_0
culd,C_17_8_0_0_0
cum,C_12_0_0_0_0
curiousity,C_14_1_2_0_0
cus,C_1_0_0_0_0
cutee,C_2_0_0_0_0
cuz,C_3_0_0_0_0
d,D_0_0_0_0
d4t,D4_2_0_0_0
d4tts,D4_2_1_0_0
da,D_0_0_0_0
daamn,D_12_11_0_0_0
damn,D_12_11_0_0_0
damnnn,D_12_11_0_0_0
dat,D_2_0_0_0_0
dats,D_2_1_0_0_0
dawg,D_18_13_0_0_0
de,D_0_0_0_0
deadlies,D_8_17_1_0_0
def,D_15_0_0_0_0
dese,D_1_0_0_0_0
dey,D_0_0_0_0
dha,D_19_0_0_0_0
didnt,D_8_11_2_0_0
dieingg,D_11_13_0_0_0
diiiiiirty,D_14_2_0_0_0
dnt,D_11_2_0_0_0
do,D_0_0_0_0
doin,D_11_0_0_0_0
doing,D_11_13_0_0_0
dolla,D_17_0_0_0_0
dollar,D_17_14_0_0_0
dont,D_11_2_0_0_0
doood,D_8_0_0_0_0
doooooooo,D_0_0_0_0
draggin,D_14_13_11_0_0
drivin,D_14V_11_0_0
du,D_0_0_0_0
dude,D_8_0_0_0_0
dumb,D_12_9_0_0_0
dumbbb,D_12_9_0_0_0
dy,D_0_0_0_0
eather,E_22_14_0_0_0
edcation,E_8_1_2_11_0
ee,E_0_0_0_0
eer,E_14_0_0_0_0
eff,E_15_0_0_0_0
